"city","state","pop2020","pop2010","area2020"
"Norman","Oklahoma",128026,110925,178.8
"Santa Clara","California",127647,116468,18.3
"Athens","Georgia",127315,115452,116.3
"Thousand Oaks","California",126966,126683,55.3
"Topeka","Kansas",126587,127473,61.4
"Simi Valley","California",126356,124237,41.5
"Columbia","Missouri",126254,108500,66.5
"Vallejo","California",126090,115942,30.4
"Fargo","North Dakota",125990,105549,49.8
"Allentown","Pennsylvania",125845,118032,17.6
"Pearland","Texas",125828,91252,48.7
"Concord","California",125410,122067,30.6
"Abilene","Texas",125182,117063,106.7
"Arvada","Colorado",124402,106433,38.9
"Berkeley","California",124321,112580,10.4
"Ann Arbor","Michigan",123851,113934,28.2
"Independence","Missouri",123011,116830,78
"Rochester","Minnesota",121395,106769,55.5
"Lafayette","Louisiana",121374,120623,55.8
"Hartford","Connecticut",121054,124775,17.4
"College Station","Texas",120511,93857,51.2
"Clovis","California",120124,95631,25.4
"Fairfield","California",119881,105321,41.6
"Palm Bay","Florida",119760,103190,86.4
"Richardson","Texas",119469,99223,28.6
"Round Rock","Texas",119468,99887,37.6
"Cambridge","Massachusetts",118403,105162,6.4
"Meridian","Idaho",117635,75092,35.1
"West Palm Beach","Florida",117415,99919,53.8
"Evansville","Indiana",117298,117429,47.4
"Clearwater","Florida",117292,107685,26.1
"Billings","Montana",117116,104170,44.8
"West Jordan","Utah",116961,103712,32.3
"Richmond","California",116448,103701,30.1
"Westminster","Colorado",116317,106114,31.6
"Manchester","New Hampshire",115644,109565,33.1
"Lowell","Massachusetts",115554,106519,13.6
"Wilmington","North Carolina",115451,106476,51.4
"Antioch","California",115291,102372,29.2
"Beaumont","Texas",115282,118296,82.5
"Provo","Utah",115162,112488,41.7
"North Charleston","South Carolina",114852,97471,77.6
"Elgin","Illinois",114797,108188,38
"Carlsbad","California",114746,105328,37.8
"Odessa","Texas",114428,99940,51.1
"Waterbury","Connecticut",114403,110366,28.5
"Springfield","Illinois",114394,116250,61.1
"League City","Texas",114392,83560,51.3
"Downey","California",114355,111772,12.4
"Gresham","Oregon",114247,105594,23.5
"High Point","North Carolina",114059,104371,56.4
"Broken Arrow","Oklahoma",113540,98850,63
"Peoria","Illinois",113150,115007,48
"Lansing","Michigan",112644,114297,39.1
"Lakeland","Florida",112641,97422,66.2
"Pompano Beach","Florida",112046,99845,24
"Costa Mesa","California",111918,109960,15.8
"Pueblo","Colorado",111876,106595,55.4
"Lewisville","Texas",111822,95290,37
